label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,415,290,94,61,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,382,277,59,41,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,348,274,57,37,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,175,291,45,76,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,208,281,62,56,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,19,277,129,81,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,280,271,28,25,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,306,274,24,19,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,335,276,24,22,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,266,276,17,17,benjamin-voros-yLOdY9q-IrY-unsplash.jpg,640,427
car,345,371,83,53,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,316,272,48,44,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,211,311,54,48,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
motorcycle,172,308,33,38,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
motorcycle,199,283,21,30,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
bus,210,254,39,50,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,183,260,22,22,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
bus,73,253,111,100,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,67,386,74,35,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,58,275,31,33,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,450,291,44,31,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
bus,391,251,48,33,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,535,349,35,35,bhargav-panchal-W6iSAPewojk-unsplash.jpg,640,424
car,116,312,441,277,d-panyukov-DwxlhTvC16Q-unsplash.jpg,640,800
car,51,345,545,293,marek-pospisil-oUBjd22gF6w-unsplash.jpg,640,823
truck,401,408,89,135,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,298,573,58,67,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,101,536,103,96,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,123,492,92,85,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,246,455,50,53,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,173,463,61,62,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,196,442,39,39,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,232,378,39,39,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,301,365,32,35,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,284,356,27,30,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,326,347,23,32,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
truck,375,376,53,62,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
truck,356,356,29,50,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,272,372,16,24,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,528,728,48,86,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,524,629,106,40,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,545,653,77,48,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,581,718,59,53,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,27,695,142,74,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
motorcycle,33,622,157,82,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
truck,395,385,1,0,mj-tang-5PaG8_tm79I-unsplash.jpg,640,960
car,214,777,179,204,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,406,738,156,168,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,624,834,112,147,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,517,641,145,129,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,401,598,115,120,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,519,571,85,71,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,452,527,88,57,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,388,517,61,56,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,387,476,47,39,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,453,487,43,28,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,529,495,42,34,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,427,460,42,28,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,390,448,30,19,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,383,426,31,23,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,413,444,37,17,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,419,431,24,14,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,513,481,21,26,photo-1597762333765-cbcd63dd8acc.avif,736,981
motorcycle,660,623,46,74,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,19,740,197,223,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,2,647,105,203,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,273,629,82,153,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,44,624,136,86,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,165,612,110,102,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,308,579,69,68,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,315,542,60,43,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,325,516,49,34,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,330,496,38,29,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,341,469,32,28,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,233,554,53,63,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,249,510,63,40,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,133,561,76,62,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,152,494,52,44,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,0,528,72,60,photo-1597762333765-cbcd63dd8acc.avif,736,981
motorcycle,135,487,16,42,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,183,522,60,46,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,214,482,46,44,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,283,492,34,29,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,233,445,35,30,photo-1597762333765-cbcd63dd8acc.avif,736,981
car,277,80,195,86,phyo-min-ipQU2fJ1Wn8-unsplash.jpg,640,427
car,298,191,180,90,phyo-min-ipQU2fJ1Wn8-unsplash.jpg,640,427
car,390,275,213,96,phyo-min-ipQU2fJ1Wn8-unsplash.jpg,640,427
car,5,293,216,85,phyo-min-ipQU2fJ1Wn8-unsplash.jpg,640,427
car,0,191,40,93,phyo-min-ipQU2fJ1Wn8-unsplash.jpg,640,427
car,409,178,49,43,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,457,242,37,29,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,514,261,74,41,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,394,281,59,29,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,379,324,69,41,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,312,285,67,29,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,177,288,59,25,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,192,329,64,16,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,179,351,81,19,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,221,350,79,51,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,51,378,68,48,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,216,235,42,30,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,186,240,30,36,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,154,246,31,34,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,127,258,28,29,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,96,263,26,42,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,124,293,47,44,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,67,271,30,34,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,34,281,40,34,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,5,291,25,33,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,241,176,26,42,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,183,198,22,36,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,160,204,18,29,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,127,214,22,36,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,99,213,23,42,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,15,239,22,40,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,42,237,19,35,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,104,131,51,21,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,129,131,0,1,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,547,128,27,29,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,497,102,32,34,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,574,122,26,26,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,541,91,22,27,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
